target_id	length	eff_length	est_counts	tpm
AT1G06850.2	874	713.134	12.1324	0.778428
AT1G64580.1	1973	1812.13	321	8.10507
AT1G24440.2	1670	1509.13	24.5343	0.743855
AT1G21160.1	4186	4025.13	449.376	5.10824
AT1G05150.1	2961	2800.13	1405	22.9583
AT1G69320.1	763	602.134	0	0
AT1G63057.2	425	264.449	0	0
AT1G63057.1	611	450.134	0	0
AT1G22830.1	3056	2895.13	130.854	2.06804
AT1G05170.2	2027	1866.13	648.123	15.8912
AT1G05170.1	1904	1743.13	18.8774	0.495511
AT1G18490.1	1684	1523.13	312	9.37256
AT1G67530.2	2634	2473.13	0	0
AT1G67750.1	1803	1642.13	394	10.9782
AT1G74660.2	1012	851.134	74.6977	4.01561
AT1G73940.1	911	750.134	2007	122.419
AT1G70895.1	1205	1044.13	35.2154	1.54319
AT1G52720.1	1141	980.134	772	36.0391
AT1G56000.2	1007	846.134	0	0
AT1G53520.1	1096	935.134	315	15.4127
AT1G17080.1	863	702.134	1588	103.484
AT1G33950.2	1130	969.134	0	0
AT1G73950.1	2035	1874.13	244.992	5.98128
AT1G73950.2	1824	1663.13	0.00755001	0.000207712
AT1G55325.4	7449	7288.13	254.397	1.59712
AT1G55325.2	6940	6779.13	4.61207e-05	3.11289e-07
AT1G55325.3	6389	6228.13	454.603	3.33977
AT1G55325.1	6267	6106.13	0	0
AT1G10280.1	1927	1766.13	209	5.41458
AT1G63860.6	3377	3216.13	0	0
AT1G32440.1	2176	2015.13	1563	35.4893
AT1G22360.1	1941	1780.13	2879	73.9998
AT1G22360.2	1684	1523.13	2.52464e-08	7.58407e-10
AT1G59660.1	3009	2848.13	35.6566	0.572824
AT1G32460.1	659	498.134	1502.56	138.015
AT1G46480.2	1211	1050.13	3.32741	0.144978
AT1G70390.1	999	838.134	0	0
AT1G46480.1	1367	1206.13	7.67259	0.291064
AT1G74920.1	1948	1787.13	3786	96.9316
AT1G33070.1	498	337.274	0	0
AT1G27890.1	1041	880.134	5	0.259934
AT1G75800.1	1705	1544.13	2673	79.2056
AT1G71760.1	994	833.134	60.8057	3.33942
AT1G18980.1	935	774.134	2091.32	123.608
AT1G71760.2	895	734.134	4.1943	0.261412
AT1G16530.1	744	583.134	16	1.25543
AT1G44780.2	1644	1483.13	196.621	6.06585
AT1G44780.1	1392	1231.13	133.379	4.95705
AT1G73240.1	2062	1901.13	197	4.74128
AT1G06590.1	3193	3032.13	296	4.46668
AT1G33060.1	1947	1786.13	48.1455	1.23334
AT1G33060.2	2299	2138.13	206.855	4.42662
AT1G75750.1	760	599.134	21455.6	1638.54
AT1G75750.2	607	446.134	17.4386	1.7885
AT1G13530.1	1308	1147.13	338	13.4817
AT1G66660.1	1195	1034.13	19.1742	0.848364
AT1G66660.2	1141	980.134	187.826	8.76822
AT1G64590.1	1429	1268.13	300	10.8243
AT1G58170.1	1322	1161.13	226	8.9057
AT1G75730.1	2988	2827.13	38.7943	0.627861
AT1G71000.2	986	825.134	5	0.27726
AT1G51330.1	582	421.134	2	0.217296
AT1G54210.2	570	409.134	72.9406	8.15728
AT1G54210.3	452	291.339	109.664	17.223
AT1G29480.1	678	517.134	0	0
AT1G56200.2	706	545.134	0	0
AT1G33355.1	28	5.33333	0	0
AT1G07020.1	819	658.134	903	62.7791
AT1G31730.1	3584	3423.13	2959	39.5515
AT1G63450.1	3330	3169.13	909	13.124
AT1G51130.1	1657	1496.13	212	6.48346
AT1G12620.1	2543	2382.13	149.564	2.87279
AT1G47695.1	220	71.7736	0	0
AT1G51110.1	1490	1329.13	8	0.275399
AT1G06160.1	1086	925.134	79	3.90719
AT1G68250.2	756	595.134	0	0
AT1G68630.1	1402	1241.13	1.11028	0.0409313
AT1G24440.1	1488	1327.13	936.466	32.2863
AT1G01453.2	1225	1064.13	0	0
AT1G01453.1	1358	1197.13	170	6.49752
AT1G65440.1	5503	5342.13	882.334	7.55719
AT1G30640.3	1823	1662.13	235.409	6.48035
AT1G65440.2	5170	5009.13	730.666	6.67418
AT1G19310.1	1076	915.134	319	15.9495
AT1G53680.1	760	599.134	969	74.0017
AT1G68030.3	847	686.134	32.4955	2.16698
AT1G68030.2	915	754.134	18.9785	1.15148
AT1G68030.1	1082	921.134	12.0176	0.596951
AT1G61475.1	639	478.134	0	0
AT1G08050.1	2490	2329.13	269	5.28445
AT1G59840.3	912	751.134	0	0
AT1G59840.1	1246	1085.13	29.3912	1.2393
AT1G17455.2	802	641.134	21.0475	1.50208
AT1G17455.1	1057	896.134	651.952	33.2878
AT1G64460.1	2240	2079.13	1187	26.1222
AT1G56415.1	499	338.274	0	0
AT1G11260.1	2483	2322.13	1622.41	31.968
AT1G31150.2	2525	2364.13	0	0
AT1G64750.3	879	718.134	569.374	36.2772
AT1G31150.1	2555	2394.13	323	6.17299
AT1G47940.1	843	682.134	0	0
AT1G72370.1	1289	1128.13	22299.8	904.444
AT1G77815.1	303	145.002	0	0
AT1G22830.2	2702	2541.13	39.1465	0.704867
AT1G72850.1	1507	1346.13	150.443	5.11358
AT1G48650.1	4303	4142.13	879	9.70972
AT1G48650.2	3897	3736.13	0	0
AT1G56460.1	1834	1673.13	441.985	12.087
AT1G48670.2	1967	1806.13	263	6.66266
AT1G48670.1	1697	1536.13	0	0
AT1G55790.1	1432	1271.13	0	0
AT1G28500.1	1110	949.134	0	0
AT1G16260.3	2520	2359.13	0	0
AT1G16260.2	2336	2175.13	0	0
AT1G16260.1	2163	2002.13	21	0.479919
AT1G56460.2	2126	1965.13	13.9623	0.325092
AT1G01770.1	2377	2216.13	202	4.17059
AT1G47240.1	2030	1869.13	579	14.1736
AT1G32575.1	273	117.196	1	0.390416
AT1G70810.1	1008	847.134	86	4.64503
AT1G26255.1	678	517.134	0	0
AT1G26255.2	1328	1167.13	2.56082	0.100392
AT1G26255.3	1086	925.134	2.5682	0.127018
AT1G05370.1	1714	1553.13	28	0.82488
AT1G26255.5	864	703.134	0	0
AT1G04610.1	1774	1613.13	396	11.2322
AT1G66630.1	1105	944.134	0	0
AT1G07930.1	1894	1733.13	9164.59	241.948
AT1G47250.1	1237	1076.13	803.692	34.1716
AT1G53180.3	1527	1366.13	10.5902	0.354693
AT1G07930.2	1553	1392.13	0	0
AT1G74660.1	935	774.134	718.27	42.4535
AT1G22040.1	1999	1838.13	636	15.8315
AT1G12190.1	1128	967.134	0	0
AT1G21630.4	4319	4158.13	0	0
AT1G21630.2	4096	3935.13	0	0
AT1G21630.3	4293	4132.13	8.01812e-05	8.87851e-07
AT1G04630.1	745	584.134	1272	99.636
AT1G21630.1	4463	4302.13	1186	12.6137
AT1G55775.1	711	550.134	1	0.0831712
AT1G60460.2	1417	1256.13	12.318	0.448691
AT1G27030.1	1596	1435.13	2249	71.7032
AT1G60460.4	1103	942.134	6.33207	0.307521
AT1G60460.5	1141	980.134	0	0
AT1G80200.3	705	544.134	81.8341	6.88129
AT1G61667.2	1057	896.134	141.812	7.24074
AT1G65000.1	911	750.134	235	14.3341
AT1G61667.1	760	599.134	334.188	25.5216
AT1G13700.3	915	754.134	66.2855	4.02172
AT1G13700.2	1106	945.134	2.6112	0.126412
AT1G13700.1	1033	872.134	30.1033	1.57933
AT1G27420.1	1278	1117.13	259	10.6081
AT1G33700.1	3476	3315.13	753.969	10.4063
AT1G33700.3	3356	3195.13	26.6373	0.381455
AT1G33700.2	3068	2907.13	521.991	8.21561
AT1G13710.1	1931	1770.13	0	0
AT1G09360.1	567	406.134	0	0
AT1G29460.2	895	734.134	0	0
AT1G29460.1	709	548.134	1	0.0834747
AT1G58030.1	2456	2295.13	1288	25.6773
AT1G69880.1	797	636.134	26	1.87011
AT1G77700.3	998	837.134	0	0
AT1G33720.5	1826	1665.13	0	0
AT1G33720.4	2458	2297.13	0	0
AT1G33720.3	2942	2781.13	0	0
AT1G09340.1	1876	1715.13	199.584	5.32437
AT1G09340.2	2012	1851.13	14.4164	0.356338
AT1G51450.1	1926	1765.13	368	9.5392
AT1G29470.1	3030	2869.13	2092.71	33.3733
AT1G29470.2	2557	2396.13	6146.29	117.366
AT1G19880.1	2265	2104.13	1496	32.5312
AT1G60270.1	1732	1571.13	108.709	3.16587
AT1G60270.2	1592	1431.13	16.2911	0.520849
AT1G53023.1	951	790.134	0	0
AT1G56000.1	1593	1432.13	267.405	8.54334
AT1G17270.2	1807	1646.13	233.316	6.48517
AT1G17270.1	2044	1883.13	131.684	3.19958
AT1G24480.1	869	708.134	17	1.09844
AT1G33950.1	991	830.134	0	0
AT1G80610.1	1594	1433.13	274	8.74793
AT1G65165.1	503	342.24	0	0
AT1G60250.1	756	595.134	0	0
AT1G30900.1	2567	2406.13	2356	44.802
AT1G68880.1	1086	925.134	787	38.9235
AT1G17210.1	3499	3338.13	1943	26.6324
AT1G60625.1	246	93.2595	0	0
AT1G04625.1	774	613.134	0	0
AT1G02220.1	1590	1429.13	440	14.0871
AT1G15770.1	1131	970.134	2	0.0943279
AT1G14010.1	915	754.134	3144.48	190.784
AT1G28580.2	1608	1447.13	427.448	13.515
AT1G28580.1	1612	1451.13	2980.55	93.979
AT1G31800.1	2070	1909.13	226	5.41644
AT1G03730.1	1271	1110.13	549	22.6276
AT1G75410.3	2336	2175.13	567.579	11.9394
AT1G06360.2	1290	1129.13	0	0
AT1G06360.1	1253	1092.13	0	0
AT1G75410.2	2565	2404.13	100.247	1.90789
AT1G21650.1	3494	3333.13	164.993	2.26492
AT1G21650.2	3263	3102.13	116.003	1.711
AT1G21650.3	5495	5334.13	0.000591315	5.0722e-06
AT1G66930.1	2276	2115.13	12.9874	0.280949
AT1G66930.2	2695	2534.13	67.0126	1.20995
AT1G66930.3	1932	1771.13	0	0
AT1G24030.3	1387	1226.13	19.1077	0.713036
AT1G24030.2	1086	925.134	0.885242	0.0437823
AT1G21510.1	1434	1273.13	39	1.40163
AT1G10095.4	1806	1645.13	59.6339	1.65857
AT1G10095.3	1395	1234.13	3.44031	0.127549
AT1G10095.2	2546	2385.13	13.2169	0.253546
AT1G10095.1	1417	1256.13	38.7089	1.40999
AT1G24030.4	864	703.134	12.6805	0.825161
AT1G51290.1	1134	973.134	0	0
AT1G76780.2	6923	6762.13	10.1808	0.0688874
AT1G08880.1	1103	942.134	2792	135.595
AT1G09580.1	1093	932.134	922	45.2579
AT1G52060.1	1355	1194.13	9692.3	371.378
AT1G79480.1	1839	1678.13	17.8498	0.486685
AT1G79480.2	1369	1208.13	0.183659	0.00695567
AT1G78980.1	2553	2392.13	0	0
AT1G71240.2	2875	2714.13	285.465	4.81241
AT1G71240.3	2056	1895.13	0	0
AT1G22510.1	895	734.134	196	12.2158
AT1G52500.2	1431	1270.13	264.475	9.52746
AT1G52500.3	988	827.134	19.206	1.06244
AT1G52500.1	1815	1654.13	84.5886	2.33982
AT1G52500.4	867	706.134	0	0
AT1G52500.5	797	636.134	1.60603	0.115517
AT1G13607.1	452	291.339	0	0
AT1G47657.1	1233	1072.13	0	0
AT1G76500.1	1729	1568.13	484	14.1223
AT1G52520.1	2587	2426.13	229	4.31879
AT1G69190.1	1733	1572.13	0	0
AT1G01790.2	4237	4076.13	110.692	1.24253
AT1G01790.1	4259	4098.13	387.308	4.32427
AT1G30814.3	1153	992.134	0	0
AT1G52990.1	1045	884.134	5	0.258758
AT1G11910.1	2088	1927.13	16398.1	389.335
AT1G11910.2	2730	2569.13	13.9002	0.247558
AT1G52990.2	885	724.134	0	0
AT1G69085.1	676	515.134	10	0.888222
AT1G01780.1	939	778.134	656	38.5737
AT1G19480.2	1976	1815.13	4.92606	0.124175
AT1G19480.1	1807	1646.13	264.074	7.3401
AT1G55420.1	2449	2288.13	109.499	2.18962
AT1G22230.1	1389	1228.13	852	31.7421
AT1G09830.1	1922	1761.13	847	22.0056
AT1G48470.1	1310	1149.13	29	1.1547
AT1G80555.2	640	479.134	1.51832	0.144993
AT1G80555.1	664	503.134	1.48168	0.134745
AT1G70110.1	2021	1860.13	0	0
AT1G22220.1	1378	1217.13	270	10.15
AT1G12350.2	1598	1437.13	45.99	1.46422
AT1G12350.1	1398	1237.13	608.01	22.4872
AT1G57550.1	553	392.134	1	0.116683
AT1G71100.1	1663	1502.13	629	19.1595
AT1G27440.1	1813	1652.13	536	14.8444
AT1G77940.1	714	553.134	13326	1102.33
AT1G51270.1	1783	1622.13	0	0
AT1G55535.3	1584	1423.13	39.1671	1.25926
AT1G09420.1	2160	1999.13	210.229	4.81164
AT1G12340.1	668	507.134	1.08277	0.0976915
AT1G09420.2	2237	2076.13	26.386	0.581514
AT1G58200.2	2749	2588.13	146.844	2.59605
AT1G58200.1	2467	2306.13	176.156	3.49505
AT1G11680.1	2028	1867.13	4922	120.617
AT1G24090.1	1542	1381.13	230	7.61963
AT1G65200.1	3311	3150.13	3	0.0435747
AT1G61093.1	731	570.134	0	0
AT1G53600.1	2820	2659.13	52.7307	0.90733
AT1G58210.1	1242	1081.13	183	7.74486
AT1G29880.1	2581	2420.13	2825	53.4098
AT1G25500.1	2018	1857.13	7.16274	0.176473
AT1G25500.2	2048	1887.13	214.14	5.19204
AT1G25500.3	1701	1540.13	83.6968	2.48652
AT1G54610.1	2278	2117.13	732.236	15.825
AT1G54610.2	2039	1878.13	483.032	11.7677
AT1G54610.3	2081	1920.13	273.732	6.52283
AT1G25560.1	1759	1598.13	1231	35.2441
AT1G61750.1	1245	1084.13	6	0.253227
AT1G65840.1	2258	2097.13	8213	179.192
AT1G19740.1	1214	1053.13	297	12.9037
AT1G36925.1	531	370.134	0	0
AT1G52450.1	3502	3341.13	46.1493	0.631994
AT1G72890.2	1572	1411.13	16.8615	0.546727
AT1G04170.1	1860	1699.13	4869.83	131.138
AT1G04170.2	1803	1642.13	27.1718	0.757096
AT1G08370.1	1718	1557.13	641	18.8354
AT1G21500.1	877	716.134	2	0.127784
AT1G65130.1	3367	3206.13	13.7773	0.196619
AT1G04110.1	2513	2352.13	0	0
AT1G51670.1	1329	1168.13	16	0.626714
AT1G52825.1	564	403.134	26.0653	2.95839
AT1G52825.2	535	374.134	270.935	33.1344
AT1G51670.2	1438	1277.13	0	0
AT1G25211.1	1622	1461.13	196.202	6.14407
AT1G65120.2	4135	3974.13	47.9508	0.552072
AT1G05577.1	1520	1359.13	34	1.14461
AT1G34750.3	1547	1386.13	466.932	15.4131
AT1G34750.2	1318	1157.13	287.531	11.3695
AT1G34750.1	1176	1015.13	0	0
AT1G45249.7	1696	1535.13	114.443	3.41102
AT1G09190.1	1614	1453.13	135	4.25079
AT1G45249.1	1251	1090.13	229.312	9.62475
AT1G45249.2	2141	1980.13	277.877	6.42095
AT1G34750.4	1313	1152.13	32.5373	1.29217
AT1G65120.1	4071	3910.13	18.0492	0.211206
AT1G45249.8	1679	1518.13	0	0
AT1G45249.9	1779	1618.13	0	0
AT1G49320.1	1250	1089.13	597	25.0804
AT1G70080.1	2051	1890.13	39	0.944091
AT1G64700.1	931	770.134	65	3.86179
AT1G71160.1	1508	1347.13	0	0
AT1G11040.1	1669	1508.13	4	0.121356
AT1G33600.1	2118	1957.13	0	0
AT1G33600.2	1768	1607.13	16	0.455522
AT1G32160.1	1465	1304.13	246	8.63087
AT1G10000.1	1327	1166.13	25	0.980919
AT1G68877.1	211	64.7719	0	0
AT1G59885.1	390	229.797	0	0
AT1G25025.1	777	616.134	0	0
AT1G78955.3	2439	2278.13	5.66498	0.113779
AT1G13609.2	375	214.973	3.52661	0.75061
AT1G13609.1	464	303.339	4.47339	0.674763
AT1G18940.1	1862	1701.13	265	7.1277
AT1G70090.1	2122	1961.13	198.809	4.63843
AT1G70090.2	1540	1379.13	413.191	13.7084
AT1G70430.2	2194	2033.13	0	0
AT1G11060.1	3148	2987.13	390	5.97381
AT1G70430.1	2226	2065.13	28.1416	0.623508
AT1G70430.4	1884	1723.13	6.9319	0.184067
AT1G66060.1	1630	1469.13	1	0.0311444
AT1G17650.1	1412	1251.13	152.094	5.56224
AT1G17650.2	1474	1313.13	4.90613	0.170951
AT1G01390.2	1836	1675.13	7	0.191201
AT1G01390.1	1789	1628.13	0	0
AT1G65130.2	3451	3290.13	2.22267	0.0309102
AT1G70505.3	1329	1168.13	8.1777	0.320317
AT1G70505.2	1547	1386.13	9.69822	0.320132
AT1G70505.1	1077	916.134	17.3325	0.865653
AT1G34360.2	2157	1996.13	19.3963	0.444601
AT1G36050.2	1924	1763.13	2529.31	65.6385
AT1G65130.5	3460	3299.13	0	0
AT1G36050.1	1733	1572.13	273.687	7.96539
AT1G61840.1	2743	2582.13	110	1.9492
AT1G79920.3	2399	2238.13	629.9	12.8774
AT1G28480.1	823	662.134	82	5.66643
AT1G78540.3	2344	2183.13	5.98243	0.125383
AT1G18250.1	1232	1071.13	510.846	21.8217
AT1G18250.2	1116	955.134	7.15364	0.342692
AT1G20240.1	1701	1540.13	0	0
AT1G75060.2	931	770.134	0	0
AT1G75060.3	1264	1103.13	13.6354	0.565562
AT1G55550.1	3073	2912.13	42	0.659902
AT1G52810.1	870	709.134	1	0.0645228
AT1G06740.1	2430	2269.13	112	2.25839
AT1G65130.4	3530	3369.13	0	0
AT1G63060.1	803	642.134	0	0
AT1G61860.1	1873	1712.13	216	5.77242
AT1G35183.3	406	245.652	0	0
AT1G57943.2	1295	1134.13	0	0
AT1G06760.1	1159	998.134	6546.08	300.078
AT1G57943.1	1249	1088.13	0	0
AT1G55205.1	792	631.134	467	33.8561
AT1G55205.2	511	350.206	0	0
AT1G56180.2	1539	1378.13	182.002	6.04263
AT1G80540.3	2052	1891.13	0	0
AT1G56180.1	2945	2784.13	116.325	1.91171
AT1G28340.1	2459	2298.13	1722	34.2846
AT1G67300.5	1798	1637.13	216.47	6.04999
AT1G68420.1	264	109.002	0	0
AT1G03490.1	846	685.134	0	0
AT1G50280.2	1812	1651.13	26.0964	0.723168
AT1G50280.1	1886	1725.13	0	0
AT1G64107.1	447	286.339	2	0.319589
AT1G54640.1	738	577.134	0	0
AT1G64570.1	3975	3814.13	544	6.52597
AT1G75730.2	2405	2244.13	226.206	4.61208
AT1G62050.1	2299	2138.13	131	2.80336
AT1G76490.1	2616	2455.13	6881	128.238
AT1G09160.1	2186	2025.13	791.176	17.8756
AT1G09160.2	1801	1640.13	193.824	5.40716
AT1G47700.1	754	593.134	3.50049	0.270034
AT1G20110.1	2488	2327.13	1608	31.616
AT1G55610.2	4414	4253.13	185	1.99024
AT1G35630.1	1060	899.134	0	0
AT1G15320.2	915	754.134	4.51226	0.273771
AT1G15320.1	1450	1289.13	2.48774	0.0882975
AT1G02510.1	1086	925.134	0	0
AT1G20750.1	3450	3289.13	0	0
AT1G07985.1	942	781.134	258	15.1125
AT1G26230.3	1867	1706.13	0	0
AT1G02920.1	1213	1052.13	775.301	33.7164
AT1G05090.1	1514	1353.13	344.227	11.6398
AT1G80460.2	1914	1753.13	0	0
AT1G20770.1	1227	1066.13	1568.42	67.3119
AT1G20770.2	1160	999.134	134.581	6.16312
AT1G80460.1	2128	1967.13	4553	105.902
AT1G02900.1	854	693.134	4048	267.218
AT1G67470.1	1739	1578.13	25	0.724833
AT1G56240.1	1275	1114.13	11	0.451749
AT1G54210.1	693	532.134	54.3954	4.67716
AT1G48540.2	3436	3275.13	3.75349e-05	5.24382e-07
AT1G30400.2	5717	5556.13	30.6955	0.252781
AT1G30400.1	5692	5531.13	5176.3	42.8201
AT1G43670.1	2065	1904.13	743	17.8539
AT1G49880.2	925	764.134	56.2358	3.36732
AT1G49880.1	747	586.134	84.7642	6.61694
AT1G67690.1	2592	2431.13	240	4.51694
AT1G56260.2	1106	945.134	44.2131	2.14042
AT1G56260.1	593	432.134	76.7869	8.13037
AT1G20960.1	7183	7022.13	2637.01	17.1824
AT1G35220.5	2979	2818.13	0	0
AT1G35220.6	2951	2790.13	0	0
AT1G20960.2	6894	6733.13	20.9881	0.142626
AT1G30460.1	2657	2496.13	214.562	3.93303
AT1G35220.1	3561	3400.13	0	0
AT1G30460.3	1153	992.134	0	0
AT1G30460.2	2469	2308.13	224.438	4.44915
AT1G49860.1	1188	1027.13	1072	47.754
AT1G69828.1	225	75.7827	0	0
AT1G77420.1	1568	1407.13	595	19.3474
AT1G29010.1	1015	854.134	0	0
AT1G10060.3	1923	1762.13	0	0
AT1G10060.2	1604	1443.13	7	0.221939
AT1G10060.1	1494	1333.13	0	0
AT1G35240.1	1933	1772.13	5	0.129097
AT1G10060.7	1795	1634.13	0	0
AT1G10060.6	1775	1614.13	0	0
AT1G10060.5	1982	1821.13	0	0
AT1G10060.4	1974	1813.13	0	0
AT1G57750.1	1898	1737.13	0	0
AT1G57750.2	1613	1452.13	0	0
AT1G60995.1	2333	2172.13	952	20.0536
AT1G57820.2	2136	1975.13	0	0
AT1G65541.1	340	180.681	0	0
AT1G13130.1	1886	1725.13	160	4.24364
AT1G48880.1	2238	2077.13	220	4.84618
AT1G70250.1	2745	2584.13	82	1.45191
AT1G13150.1	1877	1716.13	10	0.266619
AT1G48920.1	2089	1928.13	15361	364.522
AT1G08580.1	855	694.134	1600	105.467
AT1G75717.1	343	183.553	12	2.99131
AT1G50120.2	2455	2294.13	80.676	1.60904
AT1G10745.1	392	231.773	0	0
AT1G23290.1	815	654.134	10718.2	749.714
AT1G34000.1	824	663.134	683	47.1261
AT1G57980.1	1538	1377.13	6	0.19935
AT1G13870.1	1251	1090.13	539	22.623
AT1G55140.2	830	669.134	0	0
AT1G55140.1	862	701.134	200	13.0518
AT1G28660.1	1577	1416.13	284	9.17605
AT1G54230.1	1094	933.134	0	0
AT1G80400.1	1747	1586.13	423	12.2023
AT1G61740.1	2103	1942.13	2935	69.1466
AT1G17470.1	1602	1441.13	2159.4	68.56
AT1G17470.2	1522	1361.13	164.598	5.53307
AT1G09130.3	1338	1177.13	0	0
AT1G09130.2	1270	1109.13	62.0484	2.5597
AT1G09130.1	1448	1287.13	673.952	23.9578
AT1G55150.1	1870	1709.13	810.775	21.7053
AT1G55150.2	2040	1879.13	15.2254	0.370726
AT1G07780.6	1453	1292.13	0	0
AT1G07780.7	1381	1220.13	31.9166	1.19688
AT1G07780.4	1151	990.134	0	0
AT1G07780.5	1567	1406.13	29.4283	0.95759
AT1G07780.2	1477	1316.13	0	0
AT1G07780.3	1852	1691.13	14.3929	0.389415
AT1G07780.1	828	667.134	211.911	14.5339
AT1G31220.1	1520	1359.13	337	11.3451
AT1G55450.1	1541	1380.13	649.829	21.5437
AT1G07780.8	1233	1072.13	19.1219	0.816062
AT1G07780.9	1535	1374.13	153.576	5.1137
AT1G36940.1	1093	932.134	49.7138	2.44029
AT1G36940.2	1018	857.134	21.2862	1.13629
AT1G01225.1	1077	916.134	168	8.39058
AT1G66730.1	4724	4563.13	120	1.20326
AT1G54450.1	2209	2048.13	424	9.47217
AT1G56400.1	1440	1279.13	0	0
AT1G69630.1	1524	1363.13	0	0
AT1G68160.1	1501	1340.13	539	18.4027
AT1G52120.1	1454	1293.13	25.9364	0.917714
AT1G52120.2	1617	1456.13	7.06364	0.221957
AT1G29070.1	819	658.134	429	29.8253
AT1G49800.1	1104	943.134	0	0
AT1G06960.5	1248	1087.13	6.40754	0.269681
AT1G06960.4	1130	969.134	17.2589	0.81484
AT1G24650.1	2661	2500.13	0	0
AT1G06960.6	1130	969.134	7.34457	0.346756
AT1G06960.1	995	834.134	164.299	9.01238
AT1G06960.3	775	614.134	0	0
AT1G06960.2	1224	1063.13	157.69	6.7867
AT1G25422.1	1104	943.134	22	1.06731
AT1G48145.1	354	194.421	0	0
AT1G14340.1	1113	952.134	565	27.1514
AT1G74780.1	2102	1941.13	238	5.61
AT1G62422.1	1217	1056.13	283	12.2605
AT1G22950.1	1580	1419.13	697	22.4725
AT1G27950.1	982	821.134	399	22.2331
AT1G20270.3	653	492.134	4.34914	0.404354
AT1G20270.2	1510	1349.13	11.8122	0.400604
AT1G74160.1	4616	4455.13	473.618	4.86418
AT1G74160.2	3537	3376.13	285.155	3.86459
AT1G74160.3	2702	2541.13	273.227	4.91969
AT1G10570.1	1782	1621.13	234.963	6.63167
AT1G48980.4	1047	886.134	0	0
AT1G10570.3	2162	2001.13	84.4524	1.93098
AT1G10570.2	2141	1980.13	144.584	3.34094
AT1G48980.1	1830	1669.13	0	0
AT1G61940.1	885	724.134	0	0
AT1G48980.3	1134	973.134	0	0
AT1G48980.2	984	823.134	0	0
AT1G77710.1	715	554.134	2255	186.197
AT1G61920.1	586	425.134	6	0.645754
AT1G76190.1	762	601.134	0	0
AT1G69210.1	1063	902.134	220.285	11.1727
AT1G80810.5	2948	2787.13	21.0875	0.346186
AT1G80810.4	3089	2928.13	16.9169	0.264345
AT1G80810.3	2973	2812.13	71.039	1.15585
AT1G44130.1	1336	1175.13	4	0.155745
AT1G80810.1	2370	2209.13	0	0
AT1G73600.1	1672	1511.13	96.3693	2.91795
AT1G62070.1	696	535.134	0	0
AT1G48790.1	2156	1995.13	1808	41.4637
AT1G49470.1	1287	1126.13	479	19.462
AT1G73820.1	932	771.134	237.273	14.0786
AT1G73820.2	919	758.134	273.727	16.5201
AT1G75220.1	2378	2217.13	2860	59.0223
AT1G16320.1	1174	1013.13	334	15.0842
AT1G59920.1	419	258.501	0	0
AT1G11430.1	1038	877.134	611	31.8726
AT1G06143.1	1869	1708.13	93	2.49117
AT1G70030.2	420	259.501	0	0
AT1G07810.1	3658	3497.13	1284.49	16.8058
AT1G80500.1	982	821.134	2121.15	118.195
AT1G80500.2	894	733.134	18.8491	1.17638
AT1G66750.1	1543	1382.13	471	15.5924
AT1G68590.2	742	581.134	0	0
AT1G53815.1	714	553.134	0	0
AT1G75510.1	1189	1028.13	934	41.5661
AT1G68725.1	747	586.134	49.6438	3.87534
AT1G04430.1	2593	2432.13	3260.28	61.3352
AT1G07830.1	1113	952.134	1095	52.6208
